"";"alpha";"beta";"psi";"kappa"
"196";2633,18939404804;2291,78968408978;2550,36584702959;2530,00806280494
"197";0,500107165821285;1,71553982373215;NA;1,0303751142016
"198";0,500107165821285;1,25549052180306;NA;2,64497761122326
"199";0,500234959092167;1,04986766389659;NA;2,44920327120736
"200";0,848787343998136;0,810876231623156;NA;2,66652328815307
"201";2826,5615682015;2038,56461910338;2468,54198838112;2213,01778455962
"202";0,500107165821285;1,26854875721209;NA;1,59657904570064
"203";0,500107165821285;1,88872977405086;NA;3,24211569782257
"204";0,500107165821285;3,47545671035543;NA;3,13099637634354
"205";2861,15874292087;2199,37896498466;2761,9883389357;2450,0862054069
"206";0,500107165821285;2,26064954191478;NA;0,994973113293701
"207";3047,77222461942;2660,06333234163;3074,57147319748;2429,30896060219
"208";0,500107165821285;3,94757534237969;NA;3,11162658296345
"209";2817,56008033427;2486,42047804026;2708,07257939778;2814,68402675582
"210";1,65159719712667;1,31565727403755;NA;2,47209493856993
"211";0,500107165821285;1,48421482634895;NA;1,62098093448668
"212";2658,50689078414;2685,84444667774;2730,44058130919;2226,92537537802
"213";0,524848356324228;0,995474707405709;NA;0,781338667200438
"214";2538,39894888562;2261,80015620877;2752,59703020748;2705,7273400154
"215";0,500107165821285;0,777228336356911;NA;3,52037349861126
"216";6,48921393046417;2,04351201951363;NA;1,12409032135978
"217";2786,60549303056;2037,11112383404;2679,21866656139;2704,74635326725
"218";0,500107165821285;3,23844743560271;NA;1,3434329136988
"219";2813,66552657181;2498,94959344943;2785,64595583096;2517,67876766319
