"";"alpha";"beta";"lambda";"lp"
"352";3183,17768821788;2799,02603150122;3038,69996788292;2272,50144729034
"353";2946,50613086492;2649,29168438911;2923,30279492477;2427,98635345958
"354";3060,36875042603;2281,52709592209;2506,39088867422;2581,80912418278
"355";3212,36885564294;2830,32587137769;2962,21476514502;2439,33891444898
"356";2258,88534941012;2608,47561313932;2288,00221204069;2128,03563793881
"357";2361,44164341016;2424,49130618387;2162,78047696379;2524,53910584981
"358";3675,00325390641;2745,05038134458;2982,07536960335;2454,90366265901
"359";3307,57842435956;3078,4664901492;2843,47627713099;2381,01982308638
"360";2956,75381517623;2761,22168409375;2541,28075106792;2445,34759098714
"361";2622,52238947004;2766,65561378189;2347,76138874515;2539,16725523855
"362";3312,09659439825;3345,64233871311;3272,49024725624;2765,25425087822
"363";2706,17091381404;2634,83693697261;2396,2854008134;2438,07819177689
"364";3123,61923110333;2643,72039855551;2717,89486336532;2678,80571898016
"365";3001,6535333325;2825,41041173299;3117,82121360268;2412,57155668097
"366";2193,94166960708;2664,44341909876;2054,19230184882;2642,29608107237
"367";3200,00405588473;2784,86720829599;2669,85392543056;2497,03077054847
"368";2605,07435935189;2723,56569295412;2452,85823158117;2642,35048108212
"369";2118,0915129133;2548,02620423258;2143,15378300441;2617,60804741469
"370";2707,52331873224;2663,35154561213;2532,76820287188;2570,38111535944
"371";3233,15687589736;2877,30930259202;2823,7918674514;2420,48304402594
"372";2109,08650471435;2285,8181487042;1923,13850598127;2524,52412506186
"373";3561,97154852608;2922,28358585787;3121,75015995792;2468,24933815699
"374";2698,24209129509;2283,7821106053;2702,66208300744;2211,690010616
"375";2598,27109039513;2273,09716729226;2949,98057464279;2219,63931267835
"376";2834,45046947124;2795,38357352087;3029,47733740378;2405,88339783727
"377";2870,81493399502;2325,94852244171;2487,70295722087;2284,65267695018
"378";3014,77218610001;2916,41036429353;2778,50989392038;2175,78112391846
"379";3135,0583274079;2651,30487437996;3081,97809576156;2308,36625497852
"380";3171,07000925705;3044,7141207949;2935,02751717914;2630,64391570501
"381";2916,7860517308;2170,3259917278;2099,81284769351;2388,6834015431
"382";3470,73617851863;3344,13667719687;3284,65433577898;2712,45019595414
"383";2921,00693230083;2918,77569764193;3024,5127264225;2267,0599424356
"384";3034,86427129799;3310,20559151768;3614,14424289657;2341,19908773366
"385";3272,50791074386;2517,26226715198;2637,39252264478;2728,74410927386
"386";3501,74082895931;3079,16943702872;3361,59784311132;2530,53449130175
"387";3495,49568062256;2331,69441823416;2666,62040045246;2393,9510374632
"388";3072,13674694277;2734,09065742319;2657,74067437059;2238,40023156878
"389";3499,39401996206;3080,46540948788;2631,9255882581;2682,66561004471
"390";2839,60856849505;2581,50999074018;2256,99206013145;2289,31744583454
"391";3063,40080293915;3063,38250702242;3031,90130245232;2483,06150225705
"392";2435,74558163025;1385,81556931281;1601,9531264923;1760,08187041562
"393";4190,86586269118;3376,68766099955;2740,21891856095;3018,27449515505
"394";2463,73125996977;3075,22650102953;2603,15284781033;2548,79378820609
"395";3019,2782100127;2843,74022951527;2887,2445766647;2595,33938131785
"396";2784,79077622029;1813,260690255;1808,31410742068;2181,46971690067
"397";3448,76750943934;3128,71814728104;3247,14999592727;2651,74675604293
