;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
283;-3,139862107;0,616746526;56,99310536;0;;;;;
284;-2,083836978;0,509514295;4,191848879;1;;;;;
285;-2,568003392;0,689728363;28,40016958;1;;;;;
286;-3,123397433;0,753813214;56,16987163;1;;;;;
287;-2,930203333;0,625876115;46,51016667;1;;;;;
288;-2,16426013;0,467349453;8,213006506;1;;;;;
289;-3,609984245;0,75502778;80,49921226;0;;;;;
290;-1,182339003;0,491562503;-40,88304985;1;;;;;
291;-2,507593436;0,457793026;25,3796718;1;;;;;
292;-1,768223035;0,50188104;-11,58884826;1;;;;;
293;-1,46402536;0,511607513;-26,798732;1;;;;;
294;-1,232184593;0,457339402;-38,39077035;1;;;;;
295;-2,444496881;0,536324387;22,22484404;1;;;;;
296;-1,458142619;0,611768322;-27,09286905;1;;;;;
297;-2,599026517;0,643360842;29,95132585;1;;;;;
298;-2,413362675;0,693372617;20,66813377;1;;;;;
299;-2,235963513;0,459238854;11,79817565;1;;;;;
300;-2,39125917;0,761659601;19,56295851;1;;;;;
301;-2,072326119;0,740276046;3,616305928;1;;;;;
302;-2,123240098;0,499496749;6,162004885;1;;;;;
303;-2,174843148;0,509099155;8,742157377;1;;;;;
304;-2,709202239;0,647989541;35,46011197;1;;;;;
305;-1,082840967;0,436158917;-45,85795165;0;;;;;
306;-0,790645782;0,526490961;-60,46771092;0;;;;;
307;-4,433229197;0,797347644;121,6614599;0;;;;;
308;-2,461325122;0,589585577;23,06625612;1;;;;;
309;-2,935139255;0,692633329;46,75696273;1;;;;;
310;-2,83508688;0,900524805;41,75434401;1;;;;;
311;-1,779528513;0,620856223;-11,02357436;1;;;;;
312;-2,927795248;0,693597144;46,38976239;1;;;;;
313;-2,383019184;0,599952424;19,15095922;1;;;;;
314;-1,689272965;0,367552713;-15,53635173;1;;;;;
315;-1,465579069;0,604186383;-26,72104653;1;;;;;
316;-1,55803924;0,376326133;-22,09803799;1;;;;;
317;-1,62092095;0,338258283;-18,95395248;1;;;;;
318;-3,494064933;0,833575529;74,70324665;1;;;;;
319;-1,585812891;0,424012451;-20,70935543;1;;;;;
320;-1,599044062;0,472941547;-20,04779689;1;;;;;
321;-1,722317404;0,635386418;-13,88412981;1;;;;;
322;-1,539607894;0,479271208;-23,01960529;1;;;;;
323;-1,356933414;0,672134896;-32,15332931;1;;;;;
324;-2,507470031;0,727579795;25,37350155;1;;;;;
325;-2,0271517;0,531863638;1,357584976;1;;;;;
326;-1,062952491;0,379692325;-46,85237546;0;;;;;
327;-2,011748247;0,436225668;0,587412329;1;;;;;
328;-2,336528071;0,648857451;16,82640353;1;;;;;
329;-2,015011262;0,727453647;0,750563109;1;;;;;
330;-1,507350196;0,46604569;-24,63249018;1;;;;;
331;-2,064489909;0,634927548;3,22449543;1;;;;;
