;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
422;8,263492565;2,227336797;-17,36507435;1;;;;;
423;8,734108804;2,381630689;-12,65891196;1;;;;;
424;10,77768164;3,029887859;7,776816357;1;;;;;
425;4,927488007;1,341969272;-50,72511993;0;;;;;
426;9,73295992;2,557321242;-2,670400805;1;;;;;
427;10,28790388;3,110401817;2,879038839;1;;;;;
428;8,892229023;2,624648979;-11,07770977;1;;;;;
429;9,344091684;2,775584688;-6,559083158;1;;;;;
430;13,46269492;3,69945871;34,62694915;1;;;;;
431;7,14380353;1,675945396;-28,5619647;1;;;;;
432;12,14444099;3,182389547;21,4444099;1;;;;;
433;10,07544404;2,945630788;0,754440421;1;;;;;
434;6,436554179;1,682254309;-35,63445821;1;;;;;
435;12,12051107;3,443334296;21,20511073;1;;;;;
436;15,87891291;4,301430955;58,78912912;1;;;;;
437;9,536668715;2,689661791;-4,633312851;1;;;;;
438;6,783803163;2,188471864;-32,16196837;1;;;;;
439;11,02514141;2,77417917;10,25141411;1;;;;;
440;8,452755971;2,239083301;-15,47244029;1;;;;;
441;9,556268252;3,05904693;-4,437317481;1;;;;;
442;11,85484246;3,342589203;18,54842457;1;;;;;
443;6,152535452;1,745010702;-38,47464548;1;;;;;
444;5,49479097;1,65281002;-45,0520903;0;;;;;
445;7,286995014;2,025539136;-27,13004986;1;;;;;
446;12,8365544;3,659112992;28,36554397;1;;;;;
447;10,68820749;3,317995109;6,882074858;1;;;;;
448;6,699539797;2,114404202;-33,00460203;1;;;;;
449;5,895614267;1,685141368;-41,04385733;1;;;;;
450;8,957049749;2,395715272;-10,42950251;1;;;;;
451;6,893514376;2,212714822;-31,06485624;1;;;;;
452;9,339296068;2,700705882;-6,607039316;1;;;;;
453;9,666038977;2,730700152;-3,339610234;1;;;;;
454;9,522644455;2,718334292;-4,77355545;1;;;;;
455;8,285986558;2,599421625;-17,14013442;1;;;;;
456;8,697384248;2,831145444;-13,02615752;1;;;;;
457;5,837166276;1,742613034;-41,62833724;1;;;;;
458;12,13924846;3,291890751;21,39248461;1;;;;;
459;10,52715807;2,970493143;5,271580694;1;;;;;
460;9,978294279;2,748963361;-0,21705721;1;;;;;
461;8,59298944;2,509466824;-14,0701056;1;;;;;
462;8,114634223;2,342019214;-18,85365777;1;;;;;
463;9,684948183;2,799735468;-3,150518174;1;;;;;
464;10,29728352;2,914404997;2,972835173;1;;;;;
465;9,795989911;2,530347706;-2,040100893;1;;;;;
466;10,11830836;2,766892799;1,183083618;1;;;;;
467;9,312084069;2,779411446;-6,879159308;1;;;;;
468;7,974408623;2,291955424;-20,25591377;1;;;;;
469;8,992793916;2,709905435;-10,07206084;1;;;;;
470;5,621510374;1,815313786;-43,78489626;0;;;;;
471;7,726009173;2,614396845;-22,73990827;1;;;;;
472;7,599157164;2,210046814;-24,00842836;1;;;;;
473;8,790973363;2,460655897;-12,09026637;1;;;;;
474;9,522911306;2,551330005;-4,770886943;1;;;;;
475;10,44730058;2,573116562;4,473005816;1;;;;;
476;6,954429725;1,897117086;-30,45570275;1;;;;;
477;6,132665194;1,843012537;-38,67334806;1;;;;;
478;9,207191065;2,606781113;-7,928089347;1;;;;;
479;6,488797014;1,708441825;-35,11202986;1;;;;;
480;11,19695891;2,968484502;11,96958915;1;;;;;
481;10,40470075;2,922829936;4,047007546;1;;;;;
482;8,744363918;2,355382083;-12,55636082;1;;;;;
483;6,245968904;1,882543662;-37,54031096;1;;;;;
484;11,88383281;3,268241601;18,83832809;1;;;;;
485;7,82869114;2,519714854;-21,7130886;1;;;;;
486;9,03948071;2,57628004;-9,605192896;1;;;;;
487;7,966163307;2,181071478;-20,33836693;1;;;;;
488;12,9597032;3,639811325;29,59703203;1;;;;;
489;10,69491224;3,1639029;6,949122424;1;;;;;
490;7,434981008;2,315043824;-25,65018992;1;;;;;
491;8,67291509;2,610844714;-13,2708491;1;;;;;
492;9,158514749;2,541331616;-8,414852508;1;;;;;
493;11,47043654;3,252286725;14,70436541;1;;;;;
494;7,954529773;2,20919501;-20,45470227;1;;;;;
495;8,216502908;2,232985893;-17,83497092;1;;;;;
